# Kendi eklediginiz kelimeler buraya. Format: latin<TAB>osmanlica<TAB>koken(ar/fa/tr)
# örnek satir: (basindaki # isaretini kaldirip kullanin)
# yeni_kelime	يڭی كلمه	tr
belâdîde	بلادیده	ar-fa
belâgat	بلاغت	ar
belâhet	بلاهت	ar
belâyâ	بلایا	ar
belî	بلی	ar
belîğ	بليغ	ar
belût	بلوط	ar
bend	بند	fa
bende	بنده	fa
bendegân	بندگان	fa
bendegî	بندگی	fa
bendehâne	بنده خانه	fa
bender	بندر	fa
bendergâh	بندرگاه	fa
bendezâde	بنده زاده	fa
benefşe	بنفشه	fa
benefşî	بنفشی	fa
beng	بنگ	fa
bengî	بنگی	fa
bennâ	بناء	ar
benâm	بنام	fa
benân	بنان	ar
benât	بنات	ar
benî	بنی	ar
benû	بنو	ar
ber	بر	fa
berbâd	برباد	fa
berceste	برجسته	fa
bercâ	برجا	fa
berd	برد	ar
berde	برده	fa
berdevâm	بردوام	fa-ar
berdülacuz	بردالعجوز	ar
bere	بره	fa
berehne	برهنه	fa
bereket	برکت	ar
berekât	برکات	ar
berevât	بروات	ar
berf	برف	fa
berfîn	برفين	fa
berg	برگ	fa
bergüzâr	برگذار	fa
berhayât	برحيات	fa-ar
berhâne	برخانه	fa
berhürdâr	برخوردار	fa
berk	برق	ar
berkarâr	برقرار	fa-ar
berkemâl	بزکمال	fa-ar
bermu'tâd	برمعتاد	fa-ar
bermâh	برماه	fa
bermûcib-i	برموجب	fa-ar
bernâ	برنا	fa
berpâ	برپا	fa
berr	بر	ar
berrak	براق	ar
berren	برا	ar
berrî	بری	ar
bersâbık	برسابق	fa-ar
bertaraf	برطرف	fa-ar
berter	برتر	fa
berterîn	برترین	fa
bervech-i	بروجه	fa-ar
berzah	برزخ	ar
berzger	برزگر	fa
berâ'et	برائت	ar
berâber	برابر	fa
berâberî	برابری	fa
berâhîn	براهين	ar
berâyı	برای	fa
berî	بری	ar
berîd	برید	ar
berîn	برین	fa
bes	بس	fa
besend	بسند	fa
besende	بسنده	fa
beserüçeşm	بسر و چشم	fa
beste	بسته	fa
bestekâr	بسته کار	fa
besâ	بسا	fa
besâtîn	بساتين	ar
besî	بسی	fa
besîm	بسيم	ar
beter	بدتر	fa
betâet	بطائت	ar
bevl	بول	ar
bevliyye	بوليه	ar
bevlî	بولی	ar
bevvâb	بواب	ar
bevvâbîn	بوابين	ar
bey'	بيع	ar
beyhûde	بيهوده	fa
beyn	بين	ar
beynelmilel	بين الملل	ar
beynülmilel	بين الملل	ar
beyt	بيت	ar
beytullah	بيت االله	ar
beytâr	بيطار	ar
beytûtet	بيتوتت	ar
beyze	بيضه	ar
beyzâ	بيضا	ar
beyzî	بيضی	ar
beyâbân	بيابان	fa
beyân	بيان	ar
beyânnâme	بيان نامه	ar-fa
beyânât	بيانات	ar
beyâz	بياض	ar
beze	بزه	fa
bezekâr	بزه کار	fa
bezir	بذر	ar
bezirgân	بازرگان	fa
bezistân	بزستان	ar-fa
bezle	بذله	ar
bezlegû	بذله گو	ar-fa
bezm	بزم	fa
bezmgâh	بزمگاه	fa
bezzaz	بزبز	ar
beççe	بچه	fa
beşer	بشر	ar
beşere	بشره	ar
beşeriyyet	بشریت	ar
beşeriyyât	بشریات	ar
beşerî	بشری	ar
beşâret	بشارت	ar
beşîr	بشير	ar
